Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Accessory size (product.metafields.shopify.accessory-size),Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Neckline (product.metafields.shopify.neckline),Outerwear clothing features (product.metafields.shopify.outerwear-clothing-features),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United Kingdom,Price / United Kingdom,Compare At Price / United Kingdom,Included / European Union,Price / European Union,Compare At Price / European Union,Included / International,Price / International,Compare At Price / International,Status
mens-straight-fit-casual-linen-and-cotton-blend-trousers,,,,,,,,,Beige,,,40W,,,,,,400,,0,deny,manual,10.3,6.75,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/beige_2c44faae-5245-4fa0-9a2a-653d6c9b2059.jpg?v=1650971345,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/beige_2c44faae-5245-4fa0-9a2a-653d6c9b2059.jpg?v=1650971345,kg,,9.4,,,,,,,,,,
mens-straight-fit-casual-linen-and-cotton-blend-trousers,,,,,,,,,White,,,32W,,,,,,400,,0,deny,manual,10.3,6.75,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/white_3b98dcd6-4955-4488-958d-f6d18934504a.jpg?v=1650971345,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/white_3b98dcd6-4955-4488-958d-f6d18934504a.jpg?v=1650971345,kg,,9.4,,,,,,,,,,
mens-straight-fit-casual-linen-and-cotton-blend-trousers,,,,,,,,,White,,,33W,,,,,,400,,0,deny,manual,10.3,6.75,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/white_3b98dcd6-4955-4488-958d-f6d18934504a.jpg?v=1650971345,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/white_3b98dcd6-4955-4488-958d-f6d18934504a.jpg?v=1650971345,kg,,9.4,,,,,,,,,,
mens-straight-fit-casual-linen-and-cotton-blend-trousers,,,,,,,,,White,,,34W,,,,,,400,,0,deny,manual,10.3,6.75,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/white_3b98dcd6-4955-4488-958d-f6d18934504a.jpg?v=1650971345,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/white_3b98dcd6-4955-4488-958d-f6d18934504a.jpg?v=1650971345,kg,,9.4,,,,,,,,,,
mens-straight-fit-casual-linen-and-cotton-blend-trousers,,,,,,,,,White,,,36W,,,,,,400,,0,deny,manual,10.3,6.75,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/white_3b98dcd6-4955-4488-958d-f6d18934504a.jpg?v=1650971345,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/white_3b98dcd6-4955-4488-958d-f6d18934504a.jpg?v=1650971345,kg,,9.4,,,,,,,,,,
mens-straight-fit-casual-linen-and-cotton-blend-trousers,,,,,,,,,White,,,38W,,,,,,400,,0,deny,manual,10.3,6.75,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/white_3b98dcd6-4955-4488-958d-f6d18934504a.jpg?v=1650971345,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/white_3b98dcd6-4955-4488-958d-f6d18934504a.jpg?v=1650971345,kg,,9.4,,,,,,,,,,
kids-softshell-fleece-lined-puddle-rain-suit,Kids Softshell Fleece Lined Rain Suit,"<p data-mce-fragment=""1"">Kids Printed All In One Rainsuit. Waterproof windproof and breathable softshell outer and fleece lined inner.<br></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Features</strong>:</p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">High quality softshell material</li>
<li data-mce-fragment=""1"">Waterproof, windproof and Breathable</li>
<li data-mce-fragment=""1"">Soft microfleece lining</li>
<li data-mce-fragment=""1"">Practical and comfortable overall</li>
<li data-mce-fragment=""1"">Perfect protection against wind and moisture</li>
<li data-mce-fragment=""1"">Contrast lined hood</li>
<li data-mce-fragment=""1"">Front zip closure</li>
<li data-mce-fragment=""1"">Oxford knee patch for durability</li>
<li data-mce-fragment=""1"">Reflective front and back piping</li>
</ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Fabric</strong>:</p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Outer: 96% Polyester</li>
<li data-mce-fragment=""1"">Lining: 100% Polyester (microfleece)</li>
</ul>",EK,,,,TRUE,Color,Navy,product.metafields.shopify.color-pattern,Size,3-4 Years,product.metafields.shopify.size,,,,T_Kids_749_Rainsuit_NY_98/104,450,,0,deny,manual,11,7.5,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/navy_965113f1-153d-4702-b5d6-8030361f576b.jpg?v=1650971349,,,0,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/navy_965113f1-153d-4702-b5d6-8030361f576b.jpg?v=1650971349,kg,,10,TRUE,,,TRUE,,,,,,active
kids-softshell-fleece-lined-puddle-rain-suit,,,,,,,,,Pink,,,6-12 months,,,,,,450,,0,deny,manual,11,7.5,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/pink_09780094-8607-485d-bae8-d296a01e046b.jpg?v=1650971349,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/pink_09780094-8607-485d-bae8-d296a01e046b.jpg?v=1650971349,kg,,10,,,,,,,,,,
boys-kids-camo-cargo-shorts,Boys Kids Camo Cargo Shorts - 2527,"<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Limited stock available of these boys cargo shorts in sizes 5-6, 7-8 and 10-12 years.</strong></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Features:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Adjustable waist</li>
<li data-mce-fragment=""1"">Multiple Cargo pockets</li>
<li data-mce-fragment=""1"">Zip fly with button closure</li>
<li data-mce-fragment=""1"">Belt loops</li>
</ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Fabric:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">98% Cotton, 2% Spandex</li>
</ul>",EK,,,,TRUE,Color,Camo,product.metafields.shopify.color-pattern,Size,5-6 Years,product.metafields.shopify.size,,,,L_2527_Kids_Camo_Shorts_5/6,300,,0,deny,manual,7.5,3.75,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/camoshorts.jpg?v=1650971374,,,0,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/camoshorts.jpg?v=1650971374,kg,,7,TRUE,,,TRUE,,,,,,active
boys-kids-camo-cargo-shorts,,,,,,,,,Camo,,,7-8 Years,,,,,,300,,0,deny,manual,7.5,3.75,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/camoshorts.jpg?v=1650971374,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0558/8628/2915/products/camoshorts.jpg?v=1650971374,kg,,7,,,,,,,,,,
